spy,BaeR CpxR 
pykF,Cra 
uxuB uxuA,OxyR UxuR ExuR 
aldA,DnaA Arc 
putP,fus pro 
caiF,NarL 
fixX fixC fixB fixA,
envZ ompR,
lldD lldR lldP,LldR Arc LldR 
fimD fimH fimG fimF fimC fimI fimA,Lrp 
fimE,LrhA 
msrA,Fis 
ampC,BolA 
eda,KdgR 
eda,PhoB 
rseC rseB rseA rpoE,CpxR 
xapB xapA,XapR 
tauD tauC tauB tauA,CysB Cbl 
pnp rpsO truB rbfA infB nusA rimP metY,
metY,Fis 
putA,BasR fus pro MarA 
nmpC,MprA 
cydB cydA,
ccmH ccmG ccmF ccmE ccmD ccmC ccmB ccmA napC napB napH napG napA napD napF,NarL NarP FlhD 
phr,LexA 
yiaJ,YiaJ 
gadC gadB,FliZ GadW AdiY Fis GadE 
paaZ,PaaX 
hypF hydN,FhlA FlhD 
dadX dadA,Lrp 
dadX dadA,Lrp 
rnpB garK garR garL garP,
hupA,
hupB,Fis 
hupB,Fis 
paaK paaJ paaI paaH paaG paaF paaE paaD paaC paaB paaA,PaaX 
mazF mazE relA,HipA ant HipB 
mazG mazF mazE,MazE MazE Fis 
mazG mazF mazE,MazE MazE Fis 
ilvX ilvG_1 ilvA ilvD ilvE ilvM ilvG_2 ilvL,Lrp Lrp 
poxB,Cra MarA SoxS 
rnpB,Fis 
tpx,
adhE,NarL 
pqiB pqiA,SoxS MarA 
hlyE,Fis SlyA 
degP,
gadX gadA,AdiY Fis TorR GadX GadE Arc 
amtB glnK,GadX 
yiaM sgbE sgbU sgbH lyxK yiaO yiaN yiaL yiaK,YiaJ 
recF dnaN dnaA,DnaA 
rtcA rtcB,RtcR 
aroP,Cra TyrR 
nac,NtrC 
phoQ phoP,PhoP 
polA,DnaA 
xylB xylA,AraC XylR 
xylR,Arc 
hmp,NsrR MetR 
focB hyfR hyfJ hyfI hyfH hyfG hyfF hyfE hyfD hyfC hyfB hyfA,FhlA 
paaY paaX,PaaX 
proX proW proV,
grxA,OxyR 
zraP,ZraR 
zraR zraS,ZraR 
pfkA,Cra 
mlc,Mlc 
ynfK mlc,Mlc 
torR,TorR 
acnA,SoxS Arc Cra 
acnB,Arc Fis Cra 
cdd,NsrR CytR 
yeiL,
phoH,PhoB 
queA,Fis 
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
