Genes of transcription unit,Transcription Factors
gnd,FNR // Fur-Fe<sup>2+</sup>  // GadE 
ulaF // ulaE // ulaD // ulaC // ulaB // ulaA,UlaR  // IHF  // CRP-cAMP 
ulaG,UlaR  // IHF 
apaH // apaG // rsmA // pdxA,Fis 
rsmA // pdxA,Fis 
fadJ // fadI,FadR  // ArcA 
malZ,MalT-Maltotriose-ATP 
mdtF // mdtE // gadE,FliZ   // H-NS  // GadX  // GadW  // CRP-cAMP  // GadE  // EvgA  // YdeO 
pspG,PspF  // IHF 
gadY,RcsB-P<SUP>asp56</SUP> // GadW  // GadX 
glnA,NtrC  // CRP-cAMP 
glnA,CRP-cAMP  // Fis  // NtrC 
cytR,CRP-cAMP  // CytR 
serC,CRP-cAMP  // Lrp 
yidQ,CpxR
dcuA // aspA,NarL  // FNR  // CRP-cAMP 
entS,Fur-Fe<sup>2+</sup> 
gcvB,GcvA 
pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY,Fis 
tisB,LexA 
murI // btuB,GadX 
dapB,ArgP 
lysP,Lrp  // ArgP 
gltX,Fis
amn,PhoB 
manA,CRP-cAMP 
alaS,AlaS-L-alanine
dapD,ArgP 
cspD,CRP-cAMP  // MqsA antitoxin of the MqsRA toxin-antitoxin system and  // H-NS 
cysE,SutR 
katE,Fur-Fe<sup>2+</sup>  // Fis 
ppc,Cra 
ung,CpxR
lysC,ArgP 
uvrC,LexA 
ansB,Fis 
agaA // agaW // agaV // kbaZ,AgaR  // CRP-cAMP 
agaR,AgaR 
agaI // agaD // agaC // agaB // kbaY // agaS,AgaR 
ppiD,CpxR
ssuB // ssuC // ssuD // ssuA // ssuE,CysB-O-acetyl-L-serine  // FNR  // Cbl  // IHF 
aceF // aceE,NsrR-nitric oxide // FNR  // ArcA 
ptrA,LexA 
uvrC // uvrY,LexA 
sdhB // sdhA // sdhD,CRP-cAMP 
cstA,CRP-cAMP 
nanM // nanC,NanR  // NagC  // CRP-cAMP 
ilvH // ilvI,Lrp 
cspI,BasR  // Fis 
galP,NagC  // GalS-galactose // GalR-galactose // GalR  // GalS  // CRP-cAMP 
sra // bdm,RcsB-P<SUP>asp56</SUP>
hcaR,HcaR 
hcaD // hcaB // hcaC // hcaF // hcaE,HcaR-HCA 
prpR,PhoB  // AscG  // PrpR-2-methylcitrate  // CRP-cAMP 
mntH,OxyR  // Fur-Fe<sup>2+</sup>  // MntR-Mn<sup>2+</sup> 
tktB,PhoB 
evgS // evgA,H-NS  // EvgA 
evgS // evgA,H-NS  // EvgA 
polB,LexA 
allA,AllR-allantoin
allS,AllR-allantoin
glxK // ybbY // allB // ybbW // glxR // hyi // gcl,AllR-allantoin
allE // allC // allD,AllS-allantoin 
fhuF,OxyR  // Fur-Fe<sup>2+</sup> 
ydeP,UvrY- Phosphorylated  // NarP // NarL // RcsB-P<SUP>asp56</SUP> // H-NS  // NagC  // PhoP  // EvgA 
ydeO,H-NS 
yegZ // yegR,EvgA 
frc,EvgA 
yfdE // yfdV // oxc // frc // yfdX,EvgA 
yrbL,BasR  // PhoP 
slyB,PhoP 
slyB,PhoP 
rob,SoxS  // Rob  // MarA 
nagA,PhoP 
hemL,PdhR  // PhoP 
pagP,PhoP 
ybjG,PhoP 
baeR // baeS // mdtD // mdtC // mdtB // mdtA,BaeR  // CpxR
mglC // mglA,Fis 
dhaR,DhaR 
dhaM // dhaL // dhaK,DhaR 
glnQ,Fis 
acrD,EvgA 
fbaA // pgk // epd,Cra  // CRP-cAMP 
metR,MetJ-S-adenosylmethionine  // MetR-L-homocysteine
metR,MetJ-S-adenosylmethionine  // MetR-L-homocysteine
ydjM,LexA 
insK,LexA 
dinQ,LexA 
symE,LexA 
ybfE,LexA 
pta // ackA,CreB  
acrR,AcrR 
yqjH,Fur-Fe<sup>2+</sup>  // YqjI 
zinT,Zur-Zn<sup>2+</sup>  // SoxS  // Fur-Fe<sup>2+</sup> 
ldtB,CRP-cAMP  // Rob 
mltF,Rob 
fliE,CsgD 
fhlA // hypE // hypD // hypC // hypB,FNR 
dcuR // dcuS,NarL  // FNR 
bcsZ // bcsB,FNR 
gapC_2 // gapC_1,FNR 
fbaB,Cra 
pgaD // pgaC // pgaB // pgaA,OmpR // NhaR-Na<SUP>+</SUP> 
argA,ArgR-L-arginine 
appY,DpiA-P<sup>asp</sup>  // H-NS 
erpA,IscR 
nfuA,IscR 
ydiU,IscR 
napC // napB // napH // napG // napA // napD // napF,IscR 
oxyS,OxyR 
pepT,FNR 
arcZ,ArcA 
yhiM,H-NS  // GadE-RcsB
yidL,RcsB-BglJ 
iraD,FNR 
lgoD,UxuR 
yjjZ,Fur-Fe<sup>2+</sup> 
yncE,MarA 
rcdA,RcdA  
sxy,CRP-cAMP 
comR,CRP-cAMP 
bhsA,ComR  // CRP-cAMP 
pliG,Zur-Zn<sup>2+</sup> 
ychH,CRP-cAMP 
ychO,FNR 
ydeJ,FNR 
nimR,NimR 
yegH,PhoB 
pdeF,FNR 
ttdR,Dan-L-tartrate 
ygiZ,RcsB-BglJ 
aaeR,CRP-cAMP 
omrA,OmpR 
adeD,H-NS 
dacC,BolA 
dsrA,LeuO 
fadE,FadR  // ArcA 
feaB,CRP-cAMP  // FeaR  // NsrR 
grxD,NsrR-nitric oxide
ompX,FNR 
ompW,FNR 
nlpA,CsgD 
mcaS,CRP-cAMP 
pheM // rplT,FNR 
aslB,GadE-RcsB  // Rob 
dgcC,CsgD 
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ,MraZ  // PdhR 
sohB,CRP-cAMP 
sohB,CRP-cAMP 
mpl,Cra  // CRP-cAMP 
aceB // aceA // aceK,ArcA  // CRP-cAMP  // IclR-pyruvate  // IHF  // Cra 
alkA,Ada 
araC,AraC  // CRP-cAMP  // AraC-Arabinose 
argI,ArgR-L-arginine 
argR,ArgR-L-arginine 
tyrA // aroF,TyrR-Tyrosine 
aroG,TyrR-Phenylalanine  // CpxR
aroH,TrpR-Tryptophan 
aroL // yaiA // aroM,TyrR-Tyrosine  // TrpR-Tryptophan 
aroP,Cra  // TyrR-Tyrosine 
cirA,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
cyaA,CRP-cAMP 
deoC // deoA // deoB // deoD,DeoR 
deoC // deoA // deoB // deoD,DeoR  // CytR  // ModE-MoO<sub>4</sub><sup>2-</sup>  // CRP-cAMP  // Fis 
dmsA // dmsB // dmsC,Fis  // NarL  // FNR 
fhuA // fhuC // fhuD // fhuB,Fur-Fe<sup>2+</sup> 
dusB // fis,Fis  // IHF  // CRP-cAMP 
galS,GalS  // GalR  // CRP-cAMP 
galM // galK // galT // galE,GalR  // HU  // H-NS  // GalS  // CRP-cAMP 
galM // galK // galT // galE,CRP-cAMP  // HU  // GalR  // GalS  // GalR-galactose // GalS-galactose
glnG // glnL // glnA,NtrC  // CRP-cAMP 
glnG // glnL,NtrC 
glnG // glnL // glnA,CRP-cAMP  // Fis  // NtrC 
glpA // glpB // glpC,Fis  // ArcA  // GlpR  // FlhDC  // CRP-cAMP  // FNR 
ilvY,IlvY  // IlvY-2-acetolactate  
katG,Fur-Fe<sup>2+</sup>  // OxyR  // FNR 
kdpF // kdpC // kdpB // kdpA,KdpE 
lacA // lacY // lacZ,LacI  // H-NS  // CRP-cAMP 
lexA // dinF,LexA 
malG // malF // malE,CreB   // Fis  // CRP-cAMP  // MalT-Maltotriose-ATP 
malQ // malP,MalT-Maltotriose-ATP  // FNR 
metH,Fur-Fe<sup>2+</sup>  // MetR 
umpH // nagC // nagA // nagB,NagC  // CRP-cAMP 
narG // narH // narJ // narI,Fis  // RstA   // IHF  // FNR  // NarL 
narK,Fis  // IHF  // FNR  // NarL 
nirB // nirD // nirC // cysG,Cra  // H-NS  // IHF  // Fis  // CRP-cAMP  // FNR  // NarL  // NarP 
yfaE // nrdA // nrdB,H-NS  // NrdR-Zn<sup>2+</sup>  // DnaA-ATP  // ArgP  // CRP-cAMP  // Fis 
ompA,CRP-cAMP 
oxyR,OxyR  // CRP-cAMP 
phoA // psiF,PhoB 
phoB // phoR,PhoB 
purB // hflD,PurR-Hypoxanthine 
purC,PurR-Hypoxanthine 
purD // purH,RbsR  // PurR-Hypoxanthine  // PhoP 
purL,PurR-Hypoxanthine 
pyrC,Fur-Fe<sup>2+</sup>  // PurR-Hypoxanthine 
pyrD,Fis  // PurR-Hypoxanthine 
recA,LexA 
rhaS // rhaR,RhaS // RhaS-L-rhamnose  // RhaR-L-rhamnose  // CRP-cAMP 
sodA,IHF  // Fur-Fe<sup>2+</sup>  // FNR  // ArcA  // SoxS  // Rob  // MarA  // CRP-cAMP 
ssb,LexA  // ArcA 
sulA,RcdA   // LexA 
uvrA,LexA  // ArcA 
uvrB,LexA 
uvrD,LexA 
alkB // ada,Ada 
ahpC // ahpF,MetJ-S-adenosylmethionine  // OxyR 
ansB,FNR  // CRP-cAMP 
araE,CRP-cAMP  // AraC-Arabinose 
cysK,CysB-O-acetyl-L-serine 
fadL,CRP-cAMP  // OmpR  // FadR  // ArcA  // PhoP 
ilvI // ilvH,H-NS  // Lrp 
purK // purE,PurR-Hypoxanthine 
rpoH,CytR  // CRP-cAMP 
rpoH,CytR  // CRP-cAMP  // DnaA-ATP 
tnaC // tnaA // tnaB,CRP-cAMP  // TorR 
tyrP,TyrR  // TyrR-Tyrosine  // IHF  // HU  // TyrR-Phenylalanine 
glnB,PurR-Hypoxanthine 
