glpD,GlpR 
ilvY,IlvY IlvY 
katG,OxyR 
kdpF kdpCkdpBkdpA,KdpE 
lacA lacYlacZ,LacI 
lexA dinF,LexA 
malG malFmalE,Fis MalT 
malQ malP,MalT 
melR,MelR MelR 
metA,MetJ 
metH,MetR 
umpH nagCnagAnagB,NagC 
narG narHnarJnarI,Fis RstA NarL 
narK,Fis NarL 
nirB nirDnirCcysG,Cra Fis NarL NarP 
yfaE nrdAnrdB,DnaA ArgP Fis 
ompC,YjjQ Lrp Lrp EnvY OmpR CpxR 
ompF,PhoB RstA CpxR OmpR EnvY 
oxyR,OxyR 
phoA psiF,PhoB 
phoB phoR,PhoB 
purB hflD,PurR 
purC,PurR 
purD purH,RbsR PurR PhoP 
purL,PurR 
purM purN,PurR 
purR,PurR 
pyrC,PurR 
pyrD,Fis PurR 
recA,LexA 
rhaS rhaR,RhaS RhaS RhaR 
sodA,SoxS MarA 
ssb,LexA 
sulA,RcdA LexA 
tyrR,TyrR 
uvrA,LexA 
uvrB,LexA 
uvrD,LexA 
alkB ada,Ada 
ahpC ahpF,MetJ OxyR 
araE,AraC 
cysB,PhoP CysB 
cysH cysIcysJ,CysB 
cysK,CysB 
fadL,OmpR FadR PhoP 
ilvI ilvH,Lrp 
purK purE,PurR 
rpoH,CytR 
rpoH,CytR DnaA 
tnaC tnaAtnaB,TorR 
phoE,PhoB 
tyrB,TyrR 
tyrP,TyrR TyrR HU TyrR 
glnB,PurR 
ilvC,IlvY IlvY 
malT,Mlc Lrp 
fabA,FabR FadR 
mtr,HU TyrR 
purA,MarA PurR GadE 
aidB,Lrp Ada 
dctR slp,YdeO GadE GadW GadX MarA 
appX appCappBappA,YdeO AppY 
araH araGaraF,AraC 
araJ,AraC 
cydA cydB,HypT 
cyoE cyoDcyoCcyoBcyoA,YedW Cra PdhR GadE 
fumC,SoxS MarA SoxR 
mdh,FlhD 
carA carB,ArgR 
carA carB,Fis RutR PurR I 
argD,PhoP ArgR 
asnA,AsnC 
asnC,AsnC Nac 
atoB atoDatoAatoE,AtoC 
betA betBbetI,Cra BetI 
betT,Cra BetI 
bioB bioFbioCbioD,BirA 
cadC,MlrA LeuO CadC 
crp,Cra Fis 
malK lamBmalM,MalT 
tdcG tdcFtdcEtdcDtdcC tdcBtdcA,TdcR TdcA 
ebgA ebgC,EbgR 
fucP fucIfucKfucUfucR,FucR 
nupG,CytR DeoR 
uhpT,UvrY UhpA 
melA melB,MelR MelR 
malX malY,MalI 
srlA srlEsrlBsrlDgutM srlRgutQ,GutR GutM 
udp,CytR 
fucO fucA,FucR 
flhC flhD,YjjQ FliZ MatA OmpR LrhA HdfR RcsA QseB 
malS,MalT PhoP 
aldB,Fis 
hns,CspA Fis GadX 
gyrA,Fis CspA 
pck,Cra 
cynT cynScynX,CynR 
cynR,CynR 
cysM cysAcysWcysUcysP,CysB 
cysC cysNcysD,CysB 
nupC,CytR Nac 
dsdX dsdA,DsdC 
dsdC,NsrR DsdC 
exuT,ExuR 
fecE fecDfecCfecBfecA,HypT PdhR 
fdhF,NarL FhlA NarP 
hycI hycHhycGhycFhycE hycDhycChycBhycA,NsrR FhlA 
hypA hypBhypChypDhypE,NsrR FhlA 
fdnG fdnHfdnI,NarP NarL 
ndh,NsrR PdhR Fis 
fumB,Fis 
aspA,NarL 
fruA fruKfruB,Cra 
ppsA,Cra 
fepB,RutR 
mglC mglAmglB,GalS FlhD GalR 
gatD gatCgatBgatAgatZ gatY,GatR 
gcvP gcvHgcvT,PurR Lrp GcvA 
gcvA,GcvA 
glnQ glnPglnH,NtrC 
glpX glpKglpF,GlpR 
dps,Fis OxyR 
leuD leuCleuBleuAleuL,LeuO 
umuD umuC,LexA 
lrp,NsrR Lrp Lrp GadE 
gltB gltDgltF,AdiY HdfR Lrp Nac ArgR Lrp GadE 
livJ,Lrp 
livF livGlivMlivHlivK,Lrp 
lysA,ArgP LysR 
lysR,LysR 
malI,MalI 
