Genes of transcription unit,Transcription Factors
ruvB  ruvA,LexA 
ptrA,LexA 
uvrC  uvrY,LexA 
sdhB  sdhA  sdhD,CRPcAMP 
cstA,CRPcAMP 
nanM  nanC,NanR   NagC   CRPcAMP 
ilvH  ilvI,Lrp 
cspI,BasR   Fis 
tsr,CpxR
hcr  hcp,OxyR   NsrR   FNR   NarL   NarP 
galP,NagC   GalSgalactose  GalRgalactose  GalR   GalS   CRPcAMP 
sra  bdm,RcsBPSUPasp56SUP
hcaR,HcaR 
hcaD  hcaB  hcaC  hcaF  hcaE,HcaRHCA 
prpR,PhoB   AscG   PrpR2methylcitrate   CRPcAMP 
mntH,OxyR   FurFesup2sup   MntRMnsup2sup 
tktB,PhoB 
agp,CRPcAMP 
glk,Cra 
evgS  evgA,HNS   EvgA 
evgS  evgA,HNS   EvgA 
polB,LexA 
allA,AllRallantoin
allS,AllRallantoin
glxK  ybbY  allB  ybbW  glxR  hyi  gcl,AllRallantoin
allE  allC  allD,AllSallantoin 
yhhY,FurFesup2sup 
tfaQ  ydfN  nohA,FurFesup2sup 
fhuF,OxyR   FurFesup2sup 
ydeP,UvrY Phosphorylated   NarP  NarL  RcsBPSUPasp56SUP  HNS   NagC   PhoP   EvgA 
ydeO,HNS 
yegZ  yegR,EvgA 
frc,EvgA 
yfdE  yfdV  oxc  frc  yfdX,EvgA 
yrbL,BasR   PhoP 
borD,PhoP 
rstB  rstA,PhoP 
slyB,PhoP 
slyB,PhoP 
rob,SoxS   Rob   MarA 
nagA,PhoP 
hemL,PdhR   PhoP 
pagP,PhoP 
ybjG,PhoP 
ompT,PhoP 
tam  lsrG  lsrF  lsrB  lsrD  lsrC  lsrA,LsrR   CRPcAMP 
baeR  baeS  mdtD  mdtC  mdtB  mdtA,BaeR   CpxR
mglC  mglA,Fis 
dhaR,DhaR 
dhaM  dhaL  dhaK,DhaR 
glnQ,Fis 
acrD,EvgA 
fbaA  pgk  epd,Cra   CRPcAMP 
artJ,ArgRLarginine 
metE,MetJSadenosylmethionine   MetRLhomocysteine
metR,MetJSadenosylmethionine   MetRLhomocysteine
metR,MetJSadenosylmethionine   MetRLhomocysteine
ydjM,LexA 
insK,LexA 
dinQ,LexA 
symE,LexA 
ybfE,LexA 
hokE,LexA 
cho,LexA 
pta  ackA,CreB  
acrR,AcrR 
yqjH,FurFesup2sup   YqjI 
zinT,ZurZnsup2sup   SoxS   FurFesup2sup 
ldtB,CRPcAMP   Rob 
mltF,Rob 
fliE,CsgD 
scpC  scpB  argK  scpA,FNR 
fhlA  hypE  hypD  hypC  hypB  hypA,NsrRnitric oxide  IHF   FhlAFormate 
fhlA  hypE  hypD  hypC  hypB,FNR 
dcuR  dcuS,NarL   FNR 
bcsZ  bcsB,FNR 
gapC2  gapC1,FNR 
fbaB,Cra 
pgaD  pgaC  pgaB  pgaA,OmpR  NhaRNaSUPSUP 
argA,ArgRLarginine 
dtpA,OmpR 
metY,CRPcAMP   ArgRLarginine 
appY,DpiAPsupaspsup   HNS 
erpA,IscR 
nfuA,IscR 
ydiU,IscR 
napC  napB  napH  napG  napA  napD  napF,IscR 
oxyS,OxyR 
pepT,FNR 
pitA,FNR 
ybiT,AscG   CRPcAMP 
arcZ,ArcA 
yhiM,HNS   GadERcsB
yidL,RcsBBglJ 
iraD,FNR 
lgoD,UxuR 
yjjZ,FurFesup2sup 
yncE,MarA 
yqjI,YqjI   FNR 
ysgA,FNR 
rcdA,RcdA  
sxy,CRPcAMP 
comR,CRPcAMP 
bhsA,ComR   CRPcAMP 
pliG,ZurZnsup2sup 
ychH,CRPcAMP 
ychO,FNR 
ydbK,SoxS 
ydcO,SutR 
ydeJ,FNR 
nimR,NimR 
yegH,PhoB 
pdeF,FNR 
ttdR,DanLtartrate 
ygiZ,RcsBBglJ 
aaeR,CRPcAMP 
dcuD,IHF 
omrB,OmpR 
omrA,OmpR 
adeD,HNS 
dacC,BolA 
dsrA,LeuO 
fadE,FadR   ArcA 
feaB,CRPcAMP   FeaR   NsrR 
grxD,NsrRnitric oxide
hdfR,HNS 
galR,GalSgalactose  GalRgalactose
ompX,FNR 
ompW,FNR 
nlpA,CsgD 
mcaS,CRPcAMP 
pheM  rplT,FNR 
aslB,GadERcsB   Rob 
dgcC,CsgD 
pepD,CsgD 
molR1,RcsBBglJ   LexA 
lpxC  ftsZ  ftsA  ftsQ  ddlB  murC  murG  ftsW  murD  mraY  murF  murE  ftsI  ftsL  rsmH  mraZ,MraZ   PdhR 
sohB,CRPcAMP 
sohB,CRPcAMP 
mpl,Cra   CRPcAMP 
aceB  aceA  aceK,ArcA   CRPcAMP   IclRpyruvate   IHF   Cra 
alkA,Ada 
araC,AraC   CRPcAMP   AraCArabinose 
argC  argB  argH,ArgRLarginine 
argF,ArgRLarginine 
argI,ArgRLarginine 
argR,ArgRLarginine 
tyrA  aroF,TyrRTyrosine 
aroG,TyrRPhenylalanine   CpxR
aroH,TrpRTryptophan 
aroL  yaiA  aroM,TyrRTyrosine   TrpRTryptophan 
aroP,Cra   TyrRTyrosine 
bioA,BirAbio5AMP 
cirA,FurFesup2sup   CRPcAMP 
cirA,FurFesup2sup   CRPcAMP 
cyaA,CRPcAMP 
deoC  deoA  deoB  deoD,DeoR 
deoC  deoA  deoB  deoD,DeoR   CytR   ModEMoOsub4subsup2sup   CRPcAMP   Fis 
dmsA  dmsB  dmsC,Fis   NarL   FNR 
fhuA  fhuC  fhuD  fhuB,FurFesup2sup 
dusB  fis,Fis   IHF   CRPcAMP 
fnr,FurFesup2sup   FNR   IHF   ArcA 
frdD  frdC  frdB  frdA,NarL   FNR   DcuR 
galS,GalS   GalR   CRPcAMP 
galM  galK  galT  galE,GalR   HU   HNS   GalS   CRPcAMP 
galM  galK  galT  galE,CRPcAMP   HU   GalR   GalS   GalRgalactose  GalSgalactose
glnG  glnL  glnA,NtrC   CRPcAMP 
glnG  glnL,NtrC 
glnG  glnL  glnA,CRPcAMP   Fis   NtrC 
glpA  glpB  glpC,Fis   ArcA   GlpR   FlhDC   CRPcAMP   FNR 
glpD,ArcA   GlpR   CRPcAMP 
ilvN  ilvB  ivbL,CRPcAMP 
ilvY,IlvY   IlvY2acetolactate  
katG,FurFesup2sup   OxyR   FNR 
kdpF  kdpC  kdpB  kdpA,KdpE 
lacA  lacY  lacZ,LacI   HNS   CRPcAMP 
lexA  dinF,LexA 
malG  malF  malE,CreB    Fis   CRPcAMP   MalTMaltotrioseATP 
malQ  malP,MalTMaltotrioseATP   FNR 
melR,MelR   CRPcAMP   MelRMelibiose 
metA,MetJSadenosylmethionine 
metH,FurFesup2sup   MetR 
umpH  nagC  nagA  nagB,NagC   CRPcAMP 
narG  narH  narJ  narI,Fis   RstA    IHF   FNR   NarL 
narK,Fis   IHF   FNR   NarL 
nirB  nirD  nirC  cysG,Cra   HNS   IHF   Fis   CRPcAMP   FNR   NarL   NarP 
yfaE  nrdA  nrdB,HNS   NrdRZnsup2sup   DnaAATP   ArgP   CRPcAMP   Fis 
ompA,CRPcAMP 
ompC,YjjQ   IHF   LrpLeucine   Lrp   EnvY   OmpR   CpxR
